"Date","Open","High","Low","Close","TotalVolume"
2000/10/27,100.5,100.5,100.5,100.5,3391
2000/10/30,97,97,97,97,34
2000/10/31,94,94,94,94,78
2000/11/01,91,91,91,91,209
2000/11/02,88,88,88,88,4754
2000/11/03,85,94,85,92,59223
2000/11/04,89,89,89,89,1624
2000/11/06,86,86.5,86,86,19199
2000/11/07,83,87,83,84,20450
2000/11/08,84,89,84,87,17824
2000/11/09,85.5,85.5,83,84.5,8246
2000/11/10,84,89,84,88.5,13520
2000/11/13,84,86.5,83,85.5,8554
2000/11/14,86,88,85.5,87,7006
2000/11/15,89,89,84,85,9362
2000/11/16,84,87,83,85.5,12019
2000/11/17,84,88.5,83.5,88.5,10802
2000/11/18,88.5,91.5,87,90,19737
2000/11/20,89,89.5,86.5,87.5,9147
2000/11/21,87.5,93.5,87.5,93.5,12979
2000/11/22,94,95,91,91,12370
2000/11/23,90,92,89,92,3418
2000/11/24,93,94,91,94,6984
2000/11/27,94.5,95,92,92.5,7205
2000/11/28,91.5,95,91,95,6055
2000/11/29,94,97,93.5,97,8335
2000/11/30,96.5,98,95,95,6194
2000/12/01,94.5,97,94,96.5,5330
2000/12/02,97.5,97.5,95,95,3999
2000/12/04,94,94,92,92,5031
2000/12/05,90,91.5,89,90,6833
2000/12/06,92,92,87.5,88.5,7968
2000/12/07,87,90.5,87,90,4235
2000/12/08,90,90.5,89,90,1524
2000/12/11,90,90,87.5,88,5103
2000/12/12,89,90,88,88.5,2672
2000/12/13,88,88.5,86.5,87,4430
2000/12/14,86,86.5,85,86,3611
2000/12/15,84.5,85.5,84.5,85,2430
2000/12/16,85,86.5,84.5,85.5,2406
2000/12/18,86.5,86.5,84.5,86,1662
2000/12/19,86.5,87.5,85,87,3803
2000/12/20,87,87,85,85.5,2288
2000/12/21,84,84.5,83,83,2255
2000/12/22,81.5,84.5,80.5,81.5,3806
2000/12/26,82,82,79,79,2524
2000/12/27,77,77,76.5,76.5,767
2000/12/28,74,78.5,74,78.5,6879
2000/12/29,77,77.5,76,76,6884
2000/12/30,76,76,74,75,2525
2001/01/02,75,78.5,74.5,78.5,3493
2001/01/03,76.5,78.5,76,77,2327
2001/01/04,80,82,79,82,6791
2001/01/05,82,84.5,81,84,5640
2001/01/08,82,82,78.5,78.5,7421
2001/01/09,77,80,77,80,6934
